,raceid,date,crewtype,racetype,file,number,teams,racename,distance,team,time,minutes,seconds,time_in_secs
22875,9568,2017-04-01,MHV,Heat,RowData2017.csv,5,"['UCSD', 'GV', 'GONZ', 'CALM', 'CSLB']",San Diego Crew Classic,1.0,CSLB,06:59.3,6,59.3,419.3
22876,9569,2017-04-01,MHV,Heat,RowData2017.csv,1,"['UBC', 'ND', 'MIT', 'SDSU', 'HUMS', 'CHAP']",San Diego Crew Classic,1.0,UBC,06:10.6,6,10.6,370.6
22877,9569,2017-04-01,MHV,Heat,RowData2017.csv,2,"['UBC', 'ND', 'MIT', 'SDSU', 'HUMS', 'CHAP']",San Diego Crew Classic,1.0,ND,06:16.7,6,16.7,376.7
22878,9569,2017-04-01,MHV,Heat,RowData2017.csv,3,"['UBC', 'ND', 'MIT', 'SDSU', 'HUMS', 'CHAP']",San Diego Crew Classic,1.0,MIT,06:21.4,6,21.4,381.4
22879,9569,2017-04-01,MHV,Heat,RowData2017.csv,4,"['UBC', 'ND', 'MIT', 'SDSU', 'HUMS', 'CHAP']",San Diego Crew Classic,1.0,SDSU,06:39.3,6,39.3,399.3
22880,9569,2017-04-01,MHV,Heat,RowData2017.csv,5,"['UBC', 'ND', 'MIT', 'SDSU', 'HUMS', 'CHAP']",San Diego Crew Classic,1.0,HUMS,07:00.7,7,0.7,420.7
22881,9569,2017-04-01,MHV,Heat,RowData2017.csv,6,"['UBC', 'ND', 'MIT', 'SDSU', 'HUMS', 'CHAP']",San Diego Crew Classic,1.0,CHAP,07:34.1,7,34.1,454.1
22882,9570,2017-04-01,MHV,Heat,RowData2017.csv,1,"['SCLA', 'USD', 'UCIR', 'VAND', 'BC', 'COLO']",San Diego Crew Classic,1.0,SCLA,06:10.3,6,10.3,370.3
22883,9570,2017-04-01,MHV,Heat,RowData2017.csv,2,"['SCLA', 'USD', 'UCIR', 'VAND', 'BC', 'COLO']",San Diego Crew Classic,1.0,USD,06:17.4,6,17.4,377.4
22884,9570,2017-04-01,MHV,Heat,RowData2017.csv,3,"['SCLA', 'USD', 'UCIR', 'VAND', 'BC', 'COLO']",San Diego Crew Classic,1.0,UCIR,06:20.4,6,20.4,380.4
22885,9570,2017-04-01,MHV,Heat,RowData2017.csv,4,"['SCLA', 'USD', 'UCIR', 'VAND', 'BC', 'COLO']",San Diego Crew Classic,1.0,VAND,06:29.4,6,29.4,389.4
22886,9570,2017-04-01,MHV,Heat,RowData2017.csv,5,"['SCLA', 'USD', 'UCIR', 'VAND', 'BC', 'COLO']",San Diego Crew Classic,1.0,BC,06:29.6,6,29.6,389.6
22887,9570,2017-04-01,MHV,Heat,RowData2017.csv,6,"['SCLA', 'USD', 'UCIR', 'VAND', 'BC', 'COLO']",San Diego Crew Classic,1.0,COLO,06:52.9,6,52.9,412.9
22888,9571,2017-04-01,MHV,Heat,RowData2017.csv,1,"['OC', 'UCDV', 'UCLA', 'PURD', 'ALAB']",San Diego Crew Classic,1.0,OC,06:21.3,6,21.3,381.3
22889,9571,2017-04-01,MHV,Heat,RowData2017.csv,2,"['OC', 'UCDV', 'UCLA', 'PURD', 'ALAB']",San Diego Crew Classic,1.0,UCDV,06:28.2,6,28.2,388.2
22890,9571,2017-04-01,MHV,Heat,RowData2017.csv,3,"['OC', 'UCDV', 'UCLA', 'PURD', 'ALAB']",San Diego Crew Classic,1.0,UCLA,06:32.2,6,32.2,392.2
22891,9571,2017-04-01,MHV,Heat,RowData2017.csv,4,"['OC', 'UCDV', 'UCLA', 'PURD', 'ALAB']",San Diego Crew Classic,1.0,PURD,06:36.3,6,36.3,396.3
22892,9571,2017-04-01,MHV,Heat,RowData2017.csv,5,"['OC', 'UCDV', 'UCLA', 'PURD', 'ALAB']",San Diego Crew Classic,1.0,ALAB,06:41.1,6,41.1,401.1
22893,9572,2017-04-01,MHV,Heat,RowData2017.csv,1,"['CAL', 'MICH', 'UCSB']",San Diego Crew Classic,1.0,CAL,05:42.1,5,42.1,342.1
22894,9572,2017-04-01,MHV,Heat,RowData2017.csv,2,"['CAL', 'MICH', 'UCSB']",San Diego Crew Classic,1.0,MICH,06:00.6,6,0.6,360.6
22895,9572,2017-04-01,MHV,Heat,RowData2017.csv,3,"['CAL', 'MICH', 'UCSB']",San Diego Crew Classic,1.0,UCSB,06:04.1,6,4.1,364.1
22896,9573,2017-04-01,MHV,Final,RowData2017.csv,1,"['BC', 'ALAB', 'COLO', 'HUMS', 'CSLB', 'CHAP']",San Diego Crew Classic,1.0,BC,06:38.0,6,38.0,398.0
22897,9573,2017-04-01,MHV,Final,RowData2017.csv,2,"['BC', 'ALAB', 'COLO', 'HUMS', 'CSLB', 'CHAP']",San Diego Crew Classic,1.0,ALAB,06:45.0,6,45.0,405.0
22898,9573,2017-04-01,MHV,Final,RowData2017.csv,3,"['BC', 'ALAB', 'COLO', 'HUMS', 'CSLB', 'CHAP']",San Diego Crew Classic,1.0,COLO,06:52.2,6,52.2,412.2
22899,9573,2017-04-01,MHV,Final,RowData2017.csv,4,"['BC', 'ALAB', 'COLO', 'HUMS', 'CSLB', 'CHAP']",San Diego Crew Classic,1.0,HUMS,06:57.8,6,57.8,417.8
22900,9573,2017-04-01,MHV,Final,RowData2017.csv,5,"['BC', 'ALAB', 'COLO', 'HUMS', 'CSLB', 'CHAP']",San Diego Crew Classic,1.0,CSLB,06:58.9,6,58.9,418.9
22901,9573,2017-04-01,MHV,Final,RowData2017.csv,6,"['BC', 'ALAB', 'COLO', 'HUMS', 'CSLB', 'CHAP']",San Diego Crew Classic,1.0,CHAP,07:50.6,7,50.6,470.6
22902,9574,2017-04-01,MHV,Final,RowData2017.csv,1,"['GATC', 'JAX']",Georgia Tech vs. Jacksonville University,2000.0,GATC,05:55.3,5,55.3,355.3
22903,9574,2017-04-01,MHV,Final,RowData2017.csv,2,"['GATC', 'JAX']",Georgia Tech vs. Jacksonville University,2000.0,JAX,05:56.4,5,56.4,356.4
22904,9575,2017-04-01,MHV,Final,RowData2017.csv,1,"['GENS', 'CWES', 'STJF', 'BUFF', 'OSWE']",SUNY Invitational Regatta,2000.0,GENS,06:20.0,6,20.0,380.0
22905,9575,2017-04-01,MHV,Final,RowData2017.csv,2,"['GENS', 'CWES', 'STJF', 'BUFF', 'OSWE']",SUNY Invitational Regatta,2000.0,CWES,06:23.2,6,23.2,383.2
22906,9575,2017-04-01,MHV,Final,RowData2017.csv,3,"['GENS', 'CWES', 'STJF', 'BUFF', 'OSWE']",SUNY Invitational Regatta,2000.0,STJF,06:43.2,6,43.2,403.2
22907,9575,2017-04-01,MHV,Final,RowData2017.csv,4,"['GENS', 'CWES', 'STJF', 'BUFF', 'OSWE']",SUNY Invitational Regatta,2000.0,BUFF,06:50.2,6,50.2,410.2
22908,9575,2017-04-01,MHV,Final,RowData2017.csv,5,"['GENS', 'CWES', 'STJF', 'BUFF', 'OSWE']",SUNY Invitational Regatta,2000.0,OSWE,07:47.2,7,47.2,467.2
22909,9576,2017-04-01,MHV,Final,RowData2017.csv,1,"['FAIR', 'IONA']",Fairfield vs. Iona,1500.0,FAIR,07:05.3,7,5.3,425.3
22910,9576,2017-04-01,MHV,Final,RowData2017.csv,2,"['FAIR', 'IONA']",Fairfield vs. Iona,1500.0,IONA,07:45.1,7,45.1,465.1
22911,9577,2017-04-01,MHV,Final,RowData2017.csv,1,"['HOBR', 'ITHA']",Cayuga Duals: AM Pairings,2000.0,HOBR,06:19.1,6,19.1,379.1
22912,9577,2017-04-01,MHV,Final,RowData2017.csv,2,"['HOBR', 'ITHA']",Cayuga Duals: AM Pairings,2000.0,ITHA,06:41.1,6,41.1,401.1
22913,9578,2017-04-01,MHV,Final,RowData2017.csv,1,"['HC', 'MIT']",Holy Cross vs. MIT,2000.0,HC,07:04.4,7,4.4,424.4
22914,9578,2017-04-01,MHV,Final,RowData2017.csv,2,"['HC', 'MIT']",Holy Cross vs. MIT,2000.0,MIT,07:13.4,7,13.4,433.4
22915,9579,2017-04-01,MLV,Final,RowData2017.csv,1,"['YALE', 'NAVY']",Eads Johnson Cup,2000.0,YALE,06:05.3,6,5.3,365.3
22916,9579,2017-04-01,MLV,Final,RowData2017.csv,2,"['YALE', 'NAVY']",Eads Johnson Cup,2000.0,NAVY,06:17.0,6,17.0,377.0
22917,9580,2017-04-01,MLV,Final,RowData2017.csv,1,"['PRIN', 'COLU']",Campbell Cup,2000.0,PRIN,06:30.2,6,30.2,390.2
22918,9580,2017-04-01,MLV,Final,RowData2017.csv,2,"['PRIN', 'COLU']",Campbell Cup,2000.0,COLU,06:35.2,6,35.2,395.2
22919,9581,2017-04-01,MLV,Final,RowData2017.csv,1,"['PENN', 'DELA']",University of Pennsylvania vs. Universit,2000.0,PENN,06:05.2,6,5.2,365.2
22920,9581,2017-04-01,MLV,Final,RowData2017.csv,2,"['PENN', 'DELA']",University of Pennsylvania vs. Universit,2000.0,DELA,06:09.3,6,9.3,369.3
22921,9582,2017-04-01,MHV,Heat,RowData2017.csv,1,"['NCST', 'BAYL', 'MURS']",Clemson Sprints Regatta,2000.0,NCST,06:59.2,6,59.2,419.2
22922,9582,2017-04-01,MHV,Heat,RowData2017.csv,2,"['NCST', 'BAYL', 'MURS']",Clemson Sprints Regatta,2000.0,BAYL,07:04.5,7,4.5,424.5
